,price,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,availability_365,host_identity_verified,host_is_superhost,bedrooms_per_person,bathrooms_per_person,past_and_future_popularity,Bondi,Bondi Beach,Coogee,Darlinghurst,Manly,North Bondi,Randwick,Redfern,Surry Hills,Sydney,Apartment,Bed and breakfast,Boutique hotel,Bungalow,Condominium,Cottage,Guest suite,Guesthouse,Hostel,Hotel,House,Loft,Other,Serviced apartment,Townhouse,Villa,Entire home/apt,Hotel room,Private room,Shared room,flexible,luxury_moderate,moderate,strict_14_with_grace_period,super_strict_30,super_strict_60
32,160.0,151.284,-33.88923,90.0,65.0,2.0,500.0,130.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.5,0.25,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,170.0,151.27827,-33.88885,92.0,15.0,2.0,0.0,175.0,4.0,1.0,2.0,2.0,47.0,0.0,0.0,0.5,0.25,0.3125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,199.0,151.27891,-33.888690000000004,96.0,82.0,6.0,400.0,150.0,5.0,1.0,2.0,4.0,365.0,0.0,0.0,0.4,0.2,0.22404371584699453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,250.0,151.20825,-33.88521,99.0,22.0,1.0,200.0,50.0,2.0,1.0,1.0,1.0,46.0,1.0,1.0,0.5,0.5,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,225.0,151.28547,-33.89124,87.0,5.0,60.0,800.0,75.0,4.0,1.0,2.0,2.0,90.0,0.0,0.0,0.5,0.25,0.054945054945054944,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,90.0,151.20495,-33.89396,97.0,314.0,1.0,150.0,40.0,2.0,1.5,1.0,1.0,91.0,1.0,1.0,0.5,0.75,3.4130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,90.0,151.26045,-33.8895,95.0,34.0,3.0,0.0,80.0,2.0,1.0,1.0,1.0,352.0,0.0,0.0,0.5,0.5,0.09631728045325778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,250.0,151.26738,-33.8937,96.0,5.0,2.0,150.0,148.0,2.0,1.5,2.0,2.0,0.0,0.0,0.0,1.0,0.75,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,275.0,151.27225,-33.88904,90.0,3.0,6.0,514.0,206.0,5.0,1.0,2.0,2.0,243.0,1.0,1.0,0.4,0.2,0.012295081967213115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,121.0,151.22433,-33.86699,97.0,18.0,4.0,300.0,100.0,2.0,1.0,1.0,1.0,74.0,1.0,0.0,0.5,0.5,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,250.0,151.26608000000002,-33.89395,87.0,72.0,4.0,850.0,210.0,6.0,1.0,3.0,3.0,305.0,1.0,0.0,0.5,0.16666666666666666,0.23529411764705882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,129.0,151.25579,-33.9256,90.0,2.0,6.0,750.0,50.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.5,0.25,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,250.0,151.20956,-33.89289,92.0,21.0,2.0,600.0,100.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,0.5,0.25,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,129.0,151.25912,-33.9263,98.0,12.0,4.0,350.0,60.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,135.0,151.27168,-33.89586,93.0,422.0,2.0,150.0,40.0,5.0,1.0,1.0,4.0,103.0,0.0,0.0,0.2,0.2,4.0576923076923075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,398.0,151.27846,-33.88695,95.0,10.0,5.0,1500.0,165.0,7.0,2.0,3.0,6.0,226.0,1.0,0.0,0.42857142857142855,0.2857142857142857,0.04405286343612335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
